No.,Year,country,Author(s),Title,Abstract,Context,Methodology,Limitation,Key finding,APA reference,Website for access,,,,,,,,,,,,,,
13,2023,,,"Exploring the role of AI assistants in computer science education: Methods, implications, and instructor perspectives.","This study explores the role of AI assistants in computer science education, focusing on their integration, methods, and instructor perspectives. It examines the potential benefits and challenges of using AI tools in the classroom, highlighting instructors' concerns regarding dependency, ethical issues, and proper implementation. The paper provides recommendations for effective use, emphasizing the importance of training for both students and educators. Findings suggest that while AI assistants hold promise, careful integration and support are critical.",,,,,"Wang, T., Díaz, D. V., Brown, C., & Chen, Y. (2023). Exploring the role of Ai Assistants in Computer Science Education: Methods, implications, and Instructor Perspectives. 2023 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC), 92–102. https://doi.org/10.1109/vl-hcc57772.2023.00018","[2306.03289] Exploring the Role of AI Assistants in Computer Science Education: Methods, Implications, and Instructor Perspectives",,,,,,,,,,,,,,
14,2023,,"Holmes, Wayne
Iniesto, Francisco
Anastopoulou, Stamatina
Boticario, Jesus G.",Stakeholder Perspectives on the Ethics of AI in Distance-Based Higher Education,"This study investigates stakeholder perspectives on the ethics of AI in distance-based higher education, focusing on issues like privacy, bias, and accountability. It highlights the challenges and concerns raised by students, educators, and administrators about the ethical use of AI tools in online learning environments. The findings emphasize the need for clear ethical guidelines and policies to address the risks and ensure fairness, equity, and transparency in AI-driven education.",Explores ethical considerations of AI integration in distance-based higher education from various stakeholder perspectives.,"Qualitative approach, likely involving interviews or surveys with stakeholders such as students, educators, and administrators.","The study's findings may not be directly applicable to traditional, in-person learning environments or institutions outside of distance education.",There is a strong call for the development of ethical frameworks and policies to guide AI use in education.,"Holmes, W., Iniesto, F., Anastopoulou, S., & Boticario, J. G. (2023). Stakeholder perspectives on the ethics of AI in distance-based higher education. The International Review of Research in Open and Distributed Learning, 24(2), 96–117. https://doi.org/10.19173/irrodl.v24i2.6089","ERIC - EJ1393936 - Stakeholder Perspectives on the Ethics of AI in Distance-Based Higher Education, International Review of Research in Open and Distributed Learning, 2023-May",,,,,,,,,,,,,,
15,2023,Thailand,"Prapasiri Klayklung
Piyawatjana Chocksathaporn
Pongsakorn Limna
Tanpat Kraiwanit
Kris Jangjarat",Revolutionizing Education with ChatGPT: Enhancing Learning through Conversational AI,"This paper explores how ChatGPT and similar conversational AI technologies can revolutionize education by enhancing student engagement, fostering personalized learning experiences, and providing on-demand assistance. It discusses the potential of AI-powered tools to support various educational practices, including tutoring, content creation, and assessment. The study highlights both opportunities and challenges, including concerns around academic integrity and the need for proper integration strategies to maximize AI's benefits. It suggests that AI could play a significant role in transforming traditional educational methods, particularly in higher education.","Investigates the potential of ChatGPT in revolutionizing educational practices, focusing on its use in enhancing learning.",exploratory study assessing the impact of conversational AI on education.,The study may be limited by a lack of empirical data on long-term outcomes or practical implementations in diverse educational settings.,"ChatGPT holds significant potential to enhance learning, but careful implementation is necessary to address concerns like academic integrity.","Prapasiri Klayklung, Piyawatjana Chocksathaporn, Pongsakorn Limna, Tanpat Kraiwanit, & Kris Jangjarat. (2023). Revolutionizing Education with ChatGPT: Enhancing Learning through Conversational AI. Online Submission, 2(3), 217–225.","ERIC - ED640538 - Revolutionizing Education with ChatGPT: Enhancing Learning through Conversational AI, Online Submission, 2023",,,,,,,,,,,,,,
16,2024,,Sunil Hazari,Justification and Roadmap for Artificial Intelligence (AI) Literacy Courses in Higher Education,"In this article, I present a justification for implementing AI literacy courses in higher education. I explore the ethical concerns and biases surrounding AI technologies, highlighting the importance of critical analysis and responsible use of AI. I then propose a conceptual framework, focusing on awareness, skill development, and the practical application of AI. This framework aims to foster comprehensive understanding and empower students to leverage AI's potential while mitigating risks. I also provide sample course titles and learning objectives. The suggested course format covers AI concepts, ethical considerations, bias awareness, and practical prompt engineering skills. There is a need to integrate AI literacy courses into higher education curricula, and I offer a roadmap for implementation. By equipping students with AI literacy, colleges can prepare students to navigate an AI-driven world responsibly while nurturing innovation and critical-thinking skills needed for future success.",,,,,"Hazari, S. (2024). Justification and roadmap for Artificial Intelligence (AI) literacy courses in higher education. Journal of Educational Research and Practice, 14(1). https://doi.org/10.5590/jerap.2024.14.1.07","ERIC - EJ1430426 - Justification and Roadmap for Artificial Intelligence (AI) Literacy Courses in Higher Education, Journal of Educational Research and Practice, 2024",,,,,,,,,,,,,,
17,2024,Vietnam,"Thuy Nhu Thi Nguyen 
Nam Van Lai
Quyet Thi Nguyen",Artificial Intelligence (AI) in Education: A Case Study on ChatGPT's Influence on Student Learning Behaviors,"Background/purpose: The integration of ChatGPT at Ho Chi Minh City University of Technology and Education (HCMUTE) aims to transform teaching and learning dynamics. This research evaluates ChatGPT's impact on student learning behaviors, exploring its potential to enhance educational outcomes while addressing ethical concerns. Materials/methods: A mixed-methods approach was used, involving 73 first and second-year students from HCMUTE selected through stratified random sampling. Data were collected via electronic surveys and semi-structured interviews with 15 faculty members. Quantitative data were analyzed using IBM's SPSS, while qualitative data were thematically analyzed. Results: ChatGPT is widely adopted by students for learning and information searches, with many also finding it reliable for academic tasks such as idea generation and assignment completion. However, concerns about overreliance were noted, which may hinder independent thinking and critical evaluation skills. Issues related to academic dishonesty, reduced creativity, and ethical problems such as plagiarism and information security were also identified. Conclusion: ChatGPT significantly impacts student learning behaviors. Whilst it offers benefits in accessibility and efficiency, its integration requires a balanced approach in order to maximize benefits whilst mitigating risks. This study highlights the need for stringent policies to ensure ethical usage and to promote independent learning. Future research should focus on the long-term impacts of AI tools on educational outcomes and ethical implementation frameworks.",,,,,"Nguyen, T. N., Lai, N. V., & Nguyen, Q. T. (2024). Artificial Intelligence (AI) in education: A case study on CHATGPT’s influence on student learning behaviors. Educational Process International Journal, 13(2). https://doi.org/10.22521/edupij.2024.132.7","ERIC - EJ1429559 - Artificial Intelligence (AI) in Education: A Case Study on ChatGPT's Influence on Student Learning Behaviors, Educational Process: International Journal, 2024",,,,,,,,,,,,,,
18,2024,Azerbaijan,"Rena Alasgarova
Jeyhun Rzayev",The Role of Artificial Intelligence in Shaping High School Students' Motivation,"This study explores the integration of Artificial Intelligence (AI) in high school education, focusing on its implications for student motivation and learning through the framework of Self-Determination Theory. As AI technologies like ChatGPT4 become more prevalent in educational settings, their potential to enhance learning by catering to students' needs for competence is significant. However, this Investigating also highlights the challenges associated with AI misuse, which can undermine students' autonomy and relatedness, leading to academic dishonesty and superficial learning. The research underscores the importance of balancing technological advancements with ethical engagement and intrinsic motivation. Through qualitative analysis, including interviews and thematic analysis of student and teacher feedback, the study reveals a nuanced picture of AI's role in education. It suggests that while AI offers considerable benefits, its integration requires careful consideration of ethical use, digital literacy, and the cultivation of intrinsic motivation. The findings advocate for educational policies and practices that not only leverage AI's potential to enrich learning experiences but also address the challenges posed by its misuse. This study contributes to the ongoing discourse on technology in education, emphasizing the need for a balanced approach to AI integration that supports ethical standards and promotes a meaningful educational experience.",,,,,"Alasgarova, R., & Rzayev, J. (2024). The role of Artificial Intelligence in shaping high school students’ motivation. International Journal of Technology in Education and Science, 8(2), 311–324. https://doi.org/10.46328/ijtes.553","ERIC - EJ1427115 - The Role of Artificial Intelligence in Shaping High School Students' Motivation, International Journal of Technology in Education and Science, 2024",,,,,,,,,,,,,,
19,2024,,Alice Watanabe,"Have Courage to Use Your Own Mind, with or without AI: The Relevance of Kant's Enlightenment to Higher Education in the Age of Artificial Intelligence","Artificial intelligence (AI) in higher education is a complex issue that can be discussed from many different perspectives. There is currently a great need for ethical discussions about the use of AI in universities. For example, educational researchers and teachers are already talking a lot about fairness, accountability, transparency, bias, autonomy, agency and inclusion of AI applications, and discussing these in terms of concrete teaching-learning settings. However, less explored are the implications of AI-enhanced teaching and learning in relation to fundamental educational ideals and goals. The article takes this research desideratum as a starting point by relating the use of AI in universities to Kant's reflections on enlightenment. The aim of this article is to theoretically analyse the compatibility of various AI tools with the ideal of maturity on an educational philosophical level and to formulate recommendations for action based on the results. Through a comprehensive literature review, the article analyses the impact of intelligent tutoring systems, ChatGPT and AI-supported research tools on students' maturity and discusses both opportunities and challenges for higher education. The theoretical analysis shows that intelligent tutoring systems and ChatGPT threaten student maturity, while AI-supported research tools can have a positive effect. In addition, the analysis provides several recommendations that can help to minimise the risks of AI applications in terms of student maturity. The educational principle of research-based learning is of particular importance in this context, illustrating how students can learn to use AI tools responsibly and maturely. In this sense, the paper presents a theoretical study that fundamentally reflects on the maturity ofstudentsin the age of AI and thus both encourages teachers in the field of e-teaching to critically reflect on AI-based tools and provides a basis for further empirical research.",,,,,"Alice Watanabe. (2024). Have Courage to Use Your Own Mind, with or without AI: The Relevance of Kant’s Enlightenment to Higher Education in the Age of Artificial Intelligence. Electronic Journal of E-Learning, 22(2), 46–58.","ERIC - EJ1425300 - Have Courage to Use Your Own Mind, with or without AI: The Relevance of Kant's Enlightenment to Higher Education in the Age of Artificial Intelligence, Electronic Journal of e-Learning, 2024",,,,,,,,,,,,,,
20,2024,,"Xue Zhou
Lilian Schofield",Developing a Conceptual Framework for Artificial Intelligence (AI) Literacy in Higher Education,"This paper proposes a conceptual framework for integrating Artificial Intelligence (AI) into the curriculum. It builds on previous conceptual papers, which provided initial suggestions on integrating AI into teaching. The approach to developing the conceptual framework includes drawing on existing frameworks, AI literature, and case studies from the Queen Mary University of London President and Principal, an AI literacy-funded project. The opinion piece aims to advance our thinking on creating a teaching and learning toolkit to support educators in integrating AI into their teaching, enhancing students' AI literacy and skills. This paper has two main objectives: first, it develops an AI literacy conceptual framework to support educators in integrating AI into their teaching, and second, it provides suggestions on how to engage with it.",,,,,"Xue Zhou, & Lilian Schofield. (2024). Developing a Conceptual Framework for Artificial Intelligence (AI) Literacy in Higher Education. Journal of Learning Development in Higher Education, 31.","ERIC - EJ1447079 - Developing a Conceptual Framework for Artificial Intelligence (AI) Literacy in Higher Education, Journal of Learning Development in Higher Education, 2024",,,,,,,,,,,,,,
21,2024,,Gary Lieberman,The Use and Detection of AI-Based Tools in Higher Education,"Artificial intelligence (AI) first made its entry into higher education in the form of paraphrasing tools. These tools were used to take passages that were copied from sources, and through various methods, disguised the original text to avoid academic integrity violations. At first, these tools were not very good and produced nearly incomprehensible output. However, through the use of generative artificial intelligence and natural language processing, the current engines supporting these tools have become better and more efficient at producing quality output. Recently, the artificial intelligence research company, OpenAI, developed a groundbreaking artificial intelligence engine to drive a conversational chat frontend application called ChatGPT. Backed by an expansive knowledge base that could rival any university library in volume, this AI-driven conversational application can produce well-written, seemingly academic, responses to questions. This paper examines text-based artificial intelligence tools that can be used for both ethical and unethical purposes and what simple methods can be used to recognize AI-generated output whose use may indicate plagiarism.",,,,,"Gary Lieberman. (2024). The Use and Detection of AI-Based Tools in Higher Education. Journal of Instructional Research, 13, 70–80.","ERIC - EJ1441999 - The Use and Detection of AI-Based Tools in Higher Education, Journal of Instructional Research, 2024",,,,,,,,,,,,,,
22,2024,,"Imre Csaszar
Jennifer R. Curry",Generative AI and the Development of Assignments That Promote Critical Thinking and Ethical Application in Counselor Education,"Students have gravitated toward the convenience of artificial intelligence (AI) to generate text, music, and for entertainment. Faculty are also emerging as AI consumers. Given that faculty workloads have become increasingly difficult to manage, AI holds promise for assisting with teaching and research. In this article, a pedagogical case study is presented with findings from two courses where generative AI was implemented to facilitate graduate student learning through assignments created that aligned to course objectives and lessons. Findings and implications are discussed.",,,,,"Imre Csaszar, & Jennifer R. Curry. (2024). Generative AI and the Development of Assignments That Promote Critical Thinking and Ethical Application in Counselor Education. Research Issues in Contemporary Education, 9(2), 82–108.","ERIC - EJ1436064 - Generative AI and the Development of Assignments That Promote Critical Thinking and Ethical Application in Counselor Education, Research Issues in Contemporary Education, 2024",,,,,,,,,,,,,,
23,2024,,"Maya Usher 
Miri Barak",Unpacking the Role of AI Ethics Online Education for Science and Engineering Students,"As artificial intelligence (AI) technology rapidly advances, it becomes imperative to equip students with tools to navigate through the many intricate ethical considerations surrounding its development and use. Despite growing recognition of this necessity, the integration of AI ethics into higher education curricula remains limited. This paucity highlights an urgent need for comprehensive ethics education initiatives in AI, particularly for science and engineering students who are at the forefront of these innovations. Hence, this research investigates the role of an online explicit-reflective learning module in fostering science and engineering graduate students' ethical knowledge, awareness, and problem-solving skills. The study's participants included 90 graduate students specializing in diverse science and engineering research tracks. Employing the embedded mixed-methods approach, data were collected from pre- and post-intervention questionnaires with closed-ended and open-ended questions. The study's results indicate that the online explicit-reflective learning module significantly enhanced students' knowledge of AI ethics. Initially, students exhibited a medium-high level of perceived ethical awareness, which saw a modest but statistically significant enhancement following the participation. Notably, a more distinct increase was observed in students' actual awareness of ethical issues in AI, before and after the intervention. Content analysis of students' responses to the open-ended questions revealed an increase in their ability to identify and articulate concerns relating to privacy breaches, the utilization of flawed datasets, and issues of biased social representation. Moreover, while students initially displayed limited problem-solving abilities in AI ethics, a considerable enhancement in these competencies was evident post-intervention. The study results highlight the important role of explicit-reflective learning in preparing future professionals in science and engineering with the skills necessary for ethical decision-making. The study highlights the need for placing more emphasis not only on students' ability to identify AI-related ethical issues but also on their capacity to resolve and perhaps mitigate the impact of such ethical dilemmas.",,,,,"Maya Usher, & Miri Barak. (2024). Unpacking the Role of AI Ethics Online Education for Science and Engineering Students. International Journal of STEM Education, 11. https://doi-org.libproxy.nie.edu.sg/10.1186/s40594-024-00493-4",https://web-p-ebscohost-com.libproxy.nie.edu.sg/ehost/detail/detail?vid=1&sid=2bd30e4d-7137-42bb-a142-420fb5e14b1e%40redis&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=EJ1433939&db=eric,,,,,,,,,,,,,,
24,2024,Croatia,"Irena Miljkovic Krecar
Maja Kolega
Lana Jurcec",Perception of ChatGPT Usage for Homework Assignments: Students' and Professors' Perspectives,"In the context of education, the issues of integrating artificial intelligence (AI) into teaching and maintaining academic integrity in students' use of AI are particularly relevant. This paper empirically examined the issue of ChatGPT usage for writing homework from the perspectives of students and professors. Study research methods included both quantitative and qualitative approaches. In Study 1, an anonymous questionnaire was administered to 350 Croatian students, users of ChatGPT, to investigate their perceptions, attitudes, habits, and intentions regarding ChatGPT usage for homework assignments. In Study 2, twelve faculty members were tested on their accuracy of distinguishing between original students' papers and ChatGPT-generated papers. For this purpose, 25 different versions of papers for 8 different courses were prepared. The results of the students' survey showed that most students still do not use ChatGPT regularly and have neutral attitudes about its usefulness, ease of use, risks, and intentions for future use. In addition, they were moderately concerned about ethical issues around its usage. Differences across gender and field of study were found. Professors, on the other hand, reported having average self-efficacy in appraising authorship, which is in line with their low average accuracy of 53%. Accuracy in distinguishing was lowest when ChatGPT was instructed to write a paper as a student. These results strongly suggest the necessity for clear guidelines, plagiarism detection tools, and educational initiatives to promote ethical use of AI technology.",,,,,"Irena Miljkovic Krecar, Maja Kolega, & Lana Jurcec. (2024). Perception of ChatGPT Usage for Homework Assignments: Students’ and Professors’ Perspectives. IAFOR Journal of Education, 12(2), 33–60.","ERIC - EJ1440254 - Perception of ChatGPT Usage for Homework Assignments: Students' and Professors' Perspectives, IAFOR Journal of Education, 2024",,,,,,,,,,,,,,
25,,,"BIAGINI, GABRIELE
CUOMO, STEFANO
RANIERI, MARIA","Less knowledge, more trust? Exploring potentially uncritical attitudes towards AI in higher education.","Artificial intelligence (AI) has the potential to transform various aspects of our lives, but its development has been accompanied by several social and ethical concerns. To comprehend the implications and underlying mechanisms, it is essential to acquire a broad understanding of its benefits and drawbacks. To this purpose, AI literacy is a fundamental driver for more aware attitudes towards AI development and implications. However, AI literacy research is still in its infancy. To contribute to advances in the sector, this paper presents the results of a study aimed at assessing students' AI literacy in the context of higher education, focusing on doctoral students. A survey on AI literacy was performed in four dimensions: cognitive, operational, critical and ethical. The results show that while participants had little AI knowledge, they were overconfident of the technology's capabilities. The study highlights the need for a more comprehensive approach to AI literacy that encompasses a deeper understanding of its ethical, social and economic implications.",,,,,"Biagini, G., Cuomo, S., & Ranieri, M. (2024). Less knowledge, more trust? Exploring potentially uncritical attitudes towards AI in higher education. Italian Journal of Educational Technology, 32(1), 37–52. https://doi-org.libproxy.nie.edu.sg/10.17471/2499-4324/1337",https://web-p-ebscohost-com.libproxy.nie.edu.sg/ehost/pdfviewer/pdfviewer?vid=0&sid=f4ae96be-cd82-46fa-9257-7562039028e5%40redis,,,,,,,,,,,,,,
26,2024,Philippines,"Angelina Bautista 
Christine Estrada 
Andrei Melvin Jaravata 
Laina Mae Mangaser 
Ferdinand Narag 
Rachell Soquila 
Raphael Job Asuncion ",Preservice Teachers' Readiness towards Integrating AI-Based Tools in Education: A TPACK Approach,"Background/Purpose: Technological pedagogical content knowledge (TPACK) emphasizes the effective integration of artificial intelligence (AI)-based tools in education, where specific knowledge is measured individually. This research determines the readiness of preservice teachers (PSTs) to integrate AI-based tools in education through the TPACK approach. Materials/Methods: This descriptive study involves 429 PSTs from Don Mariano Marcos Memorial State University in the Philippines through a face-to-face survey. Exploratory factor analysis was employed using a minimum residual extraction method with oblimin rotation. Partial least squares structural equation modeling was performed, and goodness of fit indices (GFI, AGFI, PGFI, RMSEA, and TLI) were tested. Results: The PSTs' readiness to integrate AI-based tools in education revealed their readiness based on their technical knowledge (TK), technical pedagogical knowledge (TPK), technical content knowledge (TCK), and TPACK, as well as their ethical readiness. The study found that the PSTs' TK, TPK, TCK, and TPACK were positively related to their ethical readiness. Conclusion: When PSTs enhance their technological competencies, their ethical considerations in the use of AI tools also improve. Relationships between TK, TPK, TCK, TPACK, and ethical readiness emphasize the need for teacher training approaches that nurture not just technical abilities, but also students' ethical consciousness. This highlights the interconnectedness of these knowledge frameworks in fostering effective and responsible technology integration in education.",,,,,"Bautista, A., Estrada, C., Jaravata, A. M., Mangaser, L. M., Narag, F., Soquila, R., & Asuncion, R. J. (2024). Preservice Teachers’ readiness towards integrating AI-based tools in education: A TPACK approach. Educational Process International Journal, 13(3). https://doi.org/10.22521/edupij.2024.133.3 ",https://eric.ed.gov/?id=EJ1447514,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
